Monat";Zuzüge;;Fortzüge;;"Zuzugs- bzw. Fortzugs-
überschuss (–)";;;;;;;;;;;;;;
;"ins-
gesamt";"darunter
über die
Landes-
grenze";"ins-
StAG";§ 10 Abs.1 StAG;§ 10 Abs.2 StAG;§ 10 Abs.3 StAG;
;;;;;;;;;
Mitte ;1.279;1.119;160;38;62;703;122;333;
Friedrichshain-Kreuzberg;1.400;1.213;187;49;62;804;138;333;
Pankow;432;355;77;21;24;257;56;74;
Charlottenburg-Wilmersdorf;1.234;1.024;210;56;63;742;154;211;
Spandau;617;474;143;5;24;288;138;159;
Steglitz-Zehlendorf;264;220;44;11;28;163;33;29;
Tempelhof-Schöneberg;1.106;968;138;22;38;675;116;252;
Neukölln;1.023;895;128;34;52;576;94;251;
Treptow-Köpenick;313;271;42;6;28;152;36;91;
Marzahn-Hellersdorf;293;251;42;–;11;179;42;60;
Lichtenberg;419;332;87;5;16;210;82;106;
Reinickendorf;495;420;75;8;34;339;67;44;
Berlin  ;8.875;7.542;1.333;255;442;5.088;1.078;1.943;


Ausländer und eingebürgerte Personen in Berlin 2022: Table 1
Ausländer und eingebürgerte Personen in Berlin 2022;;;;;;;
Bezirk ¹;"Bevölkerung
insgesamt";"Ausländische
Bevölkerung";"Ausländeranteil
in %";Eingebürgerte Personen;;;
;;;;;;;
Mitte;388.910;141.393;36,4;1.279;01;;
Friedrichshain-Kreuzberg;283.633;80.069;28,2;1.400;02;;
Pankow;415.528;74.458;17,9;432;03;;
Charlottenburg-Wilmersdorf;317.538;67.202;21,2;1.234;04;;
Spandau;248.521;59.661;24,0;617;05;;
Steglitz-Zehlendorf;294.115;40.140;13,6;264;06;;
Tempelhof-Schöneberg;346.799;72.999;21,0;1.106;07;;
Neukölln;321.319;86.778;27,0;1.023;08;;
Treptow-Köpenick;285.774;40.090;14,0;313;09;;
Marzahn-Hellersdorf;287.277;50.519;17,6;293;10;;
Lichtenberg;303.241;65.953;21,7;419;11;;
Reinickendorf;262.596;55.087;21,0;495;12;;
Berlin;3.755.251;834.349;22,2;8.875;;;
;;;;;;;
1 Ergebnisse für Bezirke geschätzt ;;;;;;;


7.1 Bevölkerung im Land Berlin 2022 ab 15 Jahren nach Bezirken und allgemeinem Schulabschluss: Table 1
7.1 Bevölkerung im Land Berlin 2022 ab 15 Jahren nach Bezirken und allgemeinem Schulabschluss;;;;;;;;;
;;;;;;;;;
Bezirk;Allgemeiner Schulabschluss;;;;;;;;
;"insge-
samt¹";"noch
in schu-
lischer
Aus-
bildung";mit allgemeinem Schulabschluss;;;;;;"ohne
allge-
meinen
Schulab-
schluss³"
;;;"zu-
sammen²";"Haupt-
(Volks-)
schulab-
schluss                     ";" Abschluss der
Polytechnischen
Oberschule";;"Realschul-
oder
gleich-
wertiger
Ab-
schluss                        ";"Fach-
hoch-
schul-/
Hoch-
schulreife                     ";
;;;;;"zusam-
men";"darunter
nach der
10. Klasse";;;
;1 000;;;;;;;;
;;;;;;;;;
